y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
Andjorg,100.88469,-1.60493,-96.56066,-1.22538,200.85577,-90.82162,Polkagris,0.81704,-1.65681,11.09098,-2.93319,True,456.14312
Andsuto,100.10332,1.09180,-102.39745,-1.18142,200.07826,-92.31415,Polkagris,0.59801,0.12324,12.58677,2.99932,True,449.31787
Andsuto,100.88831,0.02575,-99.08277,-1.20423,200.85989,-93.72572,Polkagris,0.41833,0.54007,14.05131,1.59020,True,454.90016
Jorgsuto,101.24254,1.46145,-104.48548,-1.22963,201.21264,-91.15059,Schottisgris,2.00042,0.78471,11.91774,-1.58924,True,453.96994
Andjorg,99.78055,0.05908,-105.65851,-1.23712,199.74932,-89.93938,Slängpolskorgris,-0.32425,-1.05228,14.33635,-1.00681,True,446.07348
Andsuto,99.40001,-0.73356,-104.67594,-1.18577,199.37564,-87.08355,Slängpolskorgris,-0.33550,-0.60378,10.19433,-0.54707,True,444.66207
Andsuto,98.57994,-0.77719,-96.89960,-1.21990,198.55139,-87.00658,Hambogris,0.32617,0.80909,11.91087,3.78338,True,444.44990
Jorgsuto,99.67094,-0.99437,-96.36263,-1.20975,199.64281,-88.78684,Slängpolskorgris,0.00041,0.26715,9.92043,-2.61824,True,450.17338
Andsuto,98.83291,-0.17709,-94.83290,-1.19761,198.80589,-88.61148,Hambogris,0.26942,0.64990,12.65891,0.79196,True,446.74812
Andjorg,99.33013,-0.06805,-103.41899,-1.23432,199.29967,-89.55876,Slängpolskorgris,0.10150,-1.05593,9.90626,0.38198,True,444.94115
Andjorg,99.92510,0.77712,-101.06670,-1.23677,199.89450,-92.75913,Slängpolskorgris,-0.85068,0.80650,10.96874,-2.86366,True,449.09215
Andjorg,101.69990,1.88322,-101.35304,-1.22944,201.67077,-92.81323,Schottisgris,-0.05988,2.00374,12.22436,-5.20323,True,457.82298
Jorgsuto,97.86886,-0.07350,-101.51837,-1.21157,197.84062,-88.23141,Hambogris,-0.37386,2.16853,12.18621,-1.55235,True,438.58513
Andjorg,100.16412,-0.86772,-100.32330,-1.22689,200.13530,-90.17039,Polkagris,0.07855,0.00023,11.66462,-2.24824,True,450.65893
Andjorg,99.92451,0.68282,-96.72252,-1.22009,199.89646,-90.82552,Slängpolskorgris,1.26790,-0.57670,11.79073,-3.35820,True,451.26128
Andsuto,100.55917,0.34129,-99.77514,-1.19381,200.53223,-93.13273,Polkagris,0.23604,0.72358,12.33089,2.17982,True,452.90829
Jorgsuto,101.32488,0.28741,-95.51879,-1.24862,201.29266,-95.51363,Schottisgris,-1.06899,1.98130,12.77184,-0.47036,True,458.86498
Andjorg,99.37899,0.60862,-97.62758,-1.22810,199.34888,-89.48943,Slängpolskorgris,1.96706,-1.25569,9.46070,-2.00223,True,448.08117
Andsuto,97.29753,-0.94787,-91.58637,-1.21036,197.27044,-89.15458,Hambogris,0.15056,1.42495,12.44102,1.52335,True,440.69449
Andjorg,99.68592,-0.92263,-99.95925,-1.23075,199.65669,-92.68585,Slängpolskorgris,2.62531,-1.67235,12.27512,-0.11015,True,448.44997
Andjorg,100.64146,-0.79419,-98.45374,-1.22944,200.61214,-95.26147,Polkagris,-0.62913,-0.36293,13.27708,-1.56252,True,453.98042
Andsuto,98.14956,-0.18559,-99.55229,-1.19700,198.12244,-87.13635,Hambogris,0.63435,-0.32282,10.77200,-3.21647,True,440.97165
Andjorg,99.70527,0.02603,-101.28553,-1.22951,199.67502,-92.28174,Slängpolskorgris,0.46534,-2.29115,11.23797,-3.57748,True,447.88358
Jorgsuto,98.92319,0.53137,-103.26149,-1.18969,198.89755,-91.87642,Hambogris,-0.14796,-0.98882,8.51752,-0.24481,True,442.98521
Andsuto,101.32957,-0.71574,-102.53833,-1.18668,201.30450,-89.55322,Schottisgris,0.30874,-0.15286,10.19762,1.88855,True,455.37868
Jorgsuto,99.47370,-0.40662,-107.08797,-1.22881,199.44377,-94.83749,Slängpolskorgris,1.85554,0.42502,8.94875,2.65341,True,443.82453
Andjorg,101.04713,0.02610,-99.76522,-1.23841,201.01638,-93.85607,Schottisgris,-0.74847,0.68605,11.81066,-4.30914,True,455.35304
Andsuto,99.71223,0.13772,-99.79677,-1.21716,199.68361,-90.18567,Slängpolskorgris,-0.01157,-0.05905,9.93112,0.77268,True,448.66274
Jorgsuto,102.32608,0.78891,-104.99677,-1.25306,202.29360,-91.52751,Polskorgris,-0.48282,0.30658,12.85809,0.17838,True,459.13202
Jorgsuto,98.66708,-0.08292,-101.75443,-1.21333,198.63857,-91.01995,Hambogris,-2.60031,-0.51154,8.53830,2.20897,True,442.45817
Jorgsuto,99.32977,-0.10604,-95.56559,-1.19231,199.30359,-92.59550,Slängpolskorgris,0.76088,1.23834,9.67507,1.55911,True,448.86604
Andjorg,99.49105,0.24820,-103.82278,-1.22690,199.46112,-88.07931,Slängpolskorgris,-0.85899,0.51251,11.64482,-3.29652,True,445.54386
Jorgsuto,101.89697,1.20219,-104.10201,-1.22555,201.86715,-90.92844,Schottisgris,0.27646,2.16360,11.39289,-1.55337,True,457.43385
Andjorg,99.51199,-0.60831,-102.10315,-1.23500,199.48178,-89.62005,Slängpolskorgris,0.29834,0.66144,12.17472,-0.55981,True,446.50836
Andjorg,100.39942,0.46727,-99.47503,-1.24013,200.36828,-92.32308,Polkagris,1.30649,-1.32690,9.81824,-0.86883,True,452.25959
Andjorg,99.29611,-0.10769,-95.27117,-1.23624,199.26508,-90.01698,Slängpolskorgris,-3.66142,1.79467,13.27730,-3.23776,True,448.84497
Jorgsuto,100.79024,-0.56432,-94.88027,-1.20994,200.76206,-92.97501,Polkagris,0.99277,0.17700,11.81930,-0.36096,True,456.51108
Jorgsuto,99.87518,-0.59519,-96.80720,-1.21062,199.84668,-93.71629,Slängpolskorgris,0.94579,1.39326,11.82126,-1.43475,True,450.97230
Andsuto,99.60412,-0.00505,-106.92019,-1.19225,199.57899,-90.36481,Slängpolskorgris,-0.85872,-0.57464,11.34577,-2.67524,True,444.56052
Andjorg,100.59235,-0.61181,-98.99180,-1.23932,200.56113,-91.52165,Polkagris,0.87957,-0.97843,10.90358,-0.21268,True,453.46585
Andjorg,99.93025,-0.85190,-98.62129,-1.23389,199.90056,-92.74310,Slängpolskorgris,-0.70067,1.13006,11.83485,-2.85243,True,450.34061
Jorgsuto,99.82228,1.43445,-105.64643,-1.24263,199.79101,-90.47228,Slängpolskorgris,-0.08732,0.19372,9.46658,-3.76036,True,446.28820
Andjorg,100.69272,0.59317,-97.69971,-1.23578,200.66165,-94.91296,Polkagris,0.95123,-0.43236,9.70410,-1.85013,True,454.61374
Andjorg,98.72796,-0.26841,-98.23702,-1.23745,198.69671,-89.34464,Hambogris,1.73511,-0.82869,9.13726,-0.64669,True,444.52131
Andjorg,100.92991,0.26956,-100.54869,-1.24012,200.89875,-91.24789,Polkagris,0.70242,-0.73261,11.42283,-2.38350,True,454.37521
Jorgsuto,98.84322,0.72823,-101.03816,-1.21036,198.81536,-90.65666,Hambogris,-0.59226,-0.26941,12.62765,0.11944,True,443.69702
Andjorg,99.86247,0.83033,-103.69050,-1.22520,199.83317,-91.13164,Slängpolskorgris,1.53762,1.02803,11.85058,-1.89477,True,447.46709
Andjorg,99.63276,0.32722,-98.62869,-1.22344,199.60364,-89.97611,Slängpolskorgris,-0.11873,0.23504,10.54781,-2.33071,True,448.84946
Andjorg,100.34928,-0.19784,-103.18368,-1.21983,200.32097,-91.34062,Polkagris,1.78144,-0.26469,11.08904,-4.55998,True,450.15456
Jorgsuto,98.65723,-0.63761,-102.77190,-1.18921,198.63176,-89.77613,Hambogris,0.07115,-0.65738,15.61684,-1.71973,True,441.90019
Andsuto,98.25813,-1.11666,-94.92166,-1.18274,198.23320,-90.27915,Hambogris,-0.98388,0.33187,10.80037,-2.52056,True,443.82984
Andjorg,101.25484,0.48621,-105.10556,-1.24134,201.22315,-91.91384,Schottisgris,-0.39506,0.53634,11.54706,-3.24420,True,453.72143
Andsuto,99.22585,-0.87908,-94.07226,-1.19959,199.19876,-93.86698,Slängpolskorgris,-0.96394,0.00274,9.36928,0.99015,True,449.09312
Jorgsuto,100.44623,0.30775,-98.62647,-1.21748,200.41703,-88.69957,Polkagris,1.58512,-0.36193,10.30943,0.24951,True,452.91792
Jorgsuto,98.66931,0.09369,-95.44433,-1.25779,198.63618,-89.95361,Hambogris,-3.54642,-2.19623,10.98656,-2.10489,True,445.62440
Andjorg,100.91787,-0.50697,-100.34110,-1.23008,200.88851,-87.77762,Polkagris,0.84019,-3.05397,10.84151,-2.83489,True,454.41879
Andsuto,100.52750,-0.43664,-98.27505,-1.21499,200.49805,-91.04844,Polkagris,0.77294,-0.38276,11.06233,1.40720,True,453.50000
Andjorg,99.37852,0.70374,-101.12606,-1.22785,199.34892,-90.28147,Slängpolskorgris,-0.70612,1.34358,10.17273,-4.97959,True,446.32959
Andsuto,100.71157,0.68489,-96.35287,-1.22902,200.68101,-90.83077,Polkagris,-0.45730,-0.46654,9.94446,-0.18117,True,455.38143
Andjorg,100.45474,-0.78705,-100.27162,-1.23594,200.42433,-90.34701,Polkagris,-1.79275,-0.42776,10.93712,-3.47766,True,452.13789
Andsuto,101.12190,-0.43985,-98.79916,-1.19400,201.09534,-92.79838,Schottisgris,0.31453,0.52388,11.91279,2.44300,True,456.20991
Andsuto,99.93866,0.06955,-100.07717,-1.18841,199.91226,-90.06674,Slängpolskorgris,-0.74338,-0.10291,10.24881,1.36021,True,449.65469
Andsuto,100.76665,-0.91734,-94.87800,-1.18910,200.73995,-94.16953,Polkagris,1.05056,-0.24136,10.89546,-1.28133,True,456.39425
Andsuto,98.27036,-0.19856,-96.41526,-1.20783,198.24320,-90.55143,Hambogris,-0.28974,-0.97487,11.57868,5.94766,True,443.14416
Andjorg,99.57056,-0.35759,-100.09749,-1.22766,199.54137,-89.30854,Slängpolskorgris,-2.59607,0.99407,11.63835,-1.55211,True,447.80406
Jorgsuto,99.19715,2.04084,-100.85753,-1.19771,199.17033,-92.88016,Slängpolskorgris,-1.52522,-0.60062,10.41957,-2.88168,True,445.55700
Andsuto,98.20607,-0.28111,-96.22401,-1.21033,198.17709,-89.61129,Hambogris,0.14453,0.37095,10.16936,2.32189,True,442.91837
Andjorg,98.99470,-1.37196,-98.55976,-1.22783,198.96497,-90.40596,Slängpolskorgris,-0.46756,-0.85076,11.10673,-0.96092,True,445.69362
Jorgsuto,98.35612,-0.51910,-95.16592,-1.20875,198.32815,-90.91021,Hambogris,0.23917,-0.33947,12.25928,-0.30857,True,444.19764
Andsuto,99.13993,-0.75908,-101.94806,-1.20979,199.11143,-92.98535,Slängpolskorgris,-0.19503,0.91599,11.10941,3.28393,True,444.72562
Andjorg,98.96272,-1.22430,-98.82157,-1.22262,198.93375,-89.87464,Hambogris,0.40633,-0.47813,11.35507,-2.45487,True,445.40281
Jorgsuto,99.25612,1.03316,-98.36942,-1.25763,199.22304,-91.20769,Slängpolskorgris,0.84286,1.43212,12.79321,-0.45471,True,447.09588
Andsuto,99.83173,0.24918,-99.12802,-1.19861,199.80418,-93.17449,Slängpolskorgris,-1.20939,0.66566,10.54560,2.29234,True,449.59465
Andjorg,100.12369,-0.05239,-94.46025,-1.24059,200.09268,-89.94225,Polkagris,1.06834,-0.30823,8.50939,-1.86346,True,453.38832
Andsuto,96.76734,-0.24972,-97.06306,-1.20732,196.73928,-86.98273,Hambogris,-0.52914,0.52885,12.51185,2.48041,True,435.30517
Andsuto,97.23492,0.44832,-97.80190,-1.21540,197.20702,-89.07185,Hambogris,0.17242,1.94596,12.00150,2.44729,True,437.27362
Andsuto,100.85283,0.51906,-100.39622,-1.18671,200.82764,-91.76727,Polkagris,0.26733,0.55792,12.46042,-1.27770,True,454.06604
Andsuto,99.70450,-0.58437,-99.23448,-1.20276,199.67792,-91.13631,Slängpolskorgris,0.23477,-0.04415,10.92082,3.35820,True,448.90524
Andjorg,101.61320,-0.34615,-101.30596,-1.23514,201.58347,-91.68173,Schottisgris,1.10870,-0.40793,10.46474,-2.29014,True,457.41305
Andsuto,99.44121,0.78305,-105.96729,-1.19729,199.41483,-92.42239,Slängpolskorgris,0.45560,0.47644,13.56448,3.18711,True,444.22239
Andjorg,101.42348,0.74064,-97.89104,-1.22279,201.39493,-91.45040,Schottisgris,0.64731,-1.37697,10.77152,-2.72824,True,458.17187
Jorgsuto,100.80060,-0.83699,-95.06889,-1.19298,200.77450,-90.35256,Polkagris,1.17593,0.68017,11.37224,-1.32629,True,456.46853
Andjorg,100.91889,0.84250,-99.78200,-1.22726,200.88990,-91.46632,Polkagris,0.28041,-3.08868,11.85746,-1.64977,True,454.70344
Andsuto,100.48039,-1.56314,-98.90997,-1.18265,200.45509,-91.02569,Polkagris,0.09953,1.41018,9.71410,1.31752,True,452.94698
Jorgsuto,101.04837,0.07718,-103.26543,-1.21214,201.02004,-94.32090,Schottisgris,-2.04956,-3.79727,12.30222,-1.05194,True,453.60916
Andsuto,102.13348,1.27026,-102.80120,-1.22135,202.10403,-94.72998,Polskorgris,-0.58471,-0.40260,9.08740,1.16473,True,459.26682
Jorgsuto,100.03666,-0.04335,-102.48699,-1.22172,200.00727,-89.20348,Polkagris,2.28760,1.03044,10.14546,-0.61035,True,448.93980
Jorgsuto,98.46211,-1.02202,-95.25952,-1.22699,198.43207,-86.51360,Hambogris,-0.10357,3.03454,12.28783,-0.59620,True,444.68081
Andsuto,100.39640,0.66425,-103.56930,-1.19550,200.36967,-89.97135,Polkagris,1.10836,-0.02958,10.20866,0.56309,True,450.19734
Andjorg,100.96132,-0.17912,-101.41059,-1.22893,200.93110,-92.18812,Polkagris,1.87899,1.65845,11.57469,-2.28312,True,454.10131
Andjorg,100.57931,0.70952,-104.87642,-1.22245,200.55066,-92.37829,Polkagris,-1.17157,0.02861,10.05641,-1.48852,True,450.45834
Andjorg,100.49236,0.39940,-99.80263,-1.24086,200.46070,-91.06318,Polkagris,-2.31339,1.26680,9.88715,-3.76507,True,452.56048
Andsuto,100.17350,0.22809,-98.41403,-1.22618,200.14352,-89.30883,Polkagris,0.25133,-0.51948,10.07062,1.40211,True,451.66051
Andjorg,99.94348,0.20677,-100.51235,-1.22953,199.91443,-90.68104,Slängpolskorgris,-0.50446,0.56952,12.51771,-0.75915,True,449.46123
Andsuto,101.07932,-0.26369,-104.80946,-1.19982,201.05269,-90.39793,Schottisgris,-0.59227,-0.16971,11.00485,0.60895,True,452.99187
Jorgsuto,100.66409,0.29351,-101.70091,-1.22989,200.63356,-91.77220,Polkagris,1.01497,0.32554,11.43095,-1.79402,True,452.46998
Jorgsuto,99.71058,0.50473,-102.90730,-1.23403,199.67963,-89.92340,Slängpolskorgris,1.03812,0.14225,11.18489,-0.49147,True,447.09926
Andsuto,100.54276,-0.98433,-102.50578,-1.22687,200.51234,-92.86047,Polkagris,1.29833,-0.45338,11.69863,3.67713,True,451.46093
